passer_id,season,name,air_yards,pred_air_yards,ayoe,attempts,avg_air_yards,avg_pred_air_yards,avg_ayoe
00-0026498,2023,M.Stafford,2412,2415.7727439701557,-3.772743970155716,293,8.2320819112628,8.244958170546607,-0.012876259283807904
00-0029263,2023,R.Wilson,1803,2117.7743952274323,-314.77439522743225,273,6.604395604395604,7.757415367133452,-1.1530197627378471
00-0029604,2023,K.Cousins,2173,2357.5714039206505,-184.57140392065048,302,7.195364238410596,7.806527827551823,-0.6111635891412268
00-0029701,2023,R.Tannehill,1459,1104.363671541214,354.636328458786,154,9.474025974025974,7.171192672345545,2.3028333016804288
00-0030565,2023,G.Smith,2267,2463.0915809869766,-196.09158098697662,312,7.266025641025641,7.894524298035181,-0.6284986570095404
00-0031280,2023,D.Carr,2637,2435.141081482172,201.858918517828,318,8.29245283018868,7.657676356862176,0.6347764733265031
00-0031345,2023,J.Garoppolo,1349,1283.7540985047817,65.24590149521828,164,8.225609756097562,7.8277688933218394,0.3978408627757212
00-0033077,2023,D.Prescott,2575,2572.4872981607914,2.512701839208603,333,7.732732732732733,7.725187081563938,0.007545651168794604
00-0033106,2023,J.Goff,2399,2923.726355999708,-524.7263559997082,339,7.07669616519174,8.624561522123033,-1.5478653569312926
00-0033537,2023,D.Watson,1518,1254.3772370815277,263.6227629184723,165,9.2,7.6022862853425925,1.5977137146574079
00-0033873,2023,P.Mahomes,2532,2591.1702789887786,-59.17027898877859,359,7.052924791086351,7.217744509718046,-0.16481971863169523
00-0033949,2023,J.Dobbs,2670,2812.1005321741104,-142.1005321741104,347,7.694524495677234,8.104036115775534,-0.4095116200983009
00-0034796,2023,L.Jackson,2489,2151.684204220772,337.3157957792282,293,8.494880546075086,7.343632096316627,1.151248449758458
00-0034855,2023,B.Mayfield,2888,2696.7814470529556,191.21855294704437,337,8.56973293768546,8.002318833985031,0.5674141037004284
00-0034857,2023,J.Allen,2942,3010.4021925628185,-68.40219256281853,361,8.149584487534627,8.339064245326368,-0.18947975779174106
00-0035289,2023,G.Minshew II,1756,1710.021583110094,45.97841688990593,241,7.286307053941909,7.095525241120722,0.19078181282118642
00-0035710,2023,D.Jones,1070,1097.0173902511597,-27.017390251159668,153,6.993464052287582,7.170048302295161,-0.17658425000757952
00-0036212,2023,T.Tagovailoa,2615,2653.2187980264425,-38.21879802644253,335,7.8059701492537314,7.920056113511769,-0.1140859642580374
00-0036264,2023,J.Love,2976,2541.8723018169403,434.1276981830597,329,9.045592705167174,7.726055628622919,1.3195370765442545
00-0036355,2023,J.Herbert,2760,2605.138909973204,154.86109002679586,350,7.885714285714286,7.443254028494869,0.44246025721941673
00-0036389,2023,J.Hurts,2619,2246.304085612297,372.69591438770294,305,8.58688524590164,7.36493142823704,1.2219538176645999
00-0036442,2023,J.Burrow,2281,2453.490648716688,-172.49064871668816,351,6.498575498575499,6.990001848195693,-0.49142634962019416
00-0036945,2023,J.Fields,1380,1299.5546791255474,80.44532087445259,173,7.976878612716763,7.511876757951141,0.4650018547656219
00-0036971,2023,T.Lawrence,2329,2399.6164227724075,-70.61642277240753,325,7.166153846153846,7.383435146992023,-0.217281300838177
00-0036972,2023,M.Jones,2280,2424.4867413342,-144.4867413341999,318,7.169811320754717,7.6241721425603775,-0.45436082180566006
00-0037013,2023,Z.Wilson,2255,2136.437394976616,118.5626050233841,300,7.516666666666667,7.121457983255386,0.3952086834112803
00-0037077,2023,S.Howell,3039,3146.7576729357243,-107.75767293572426,415,7.32289156626506,7.5825486094836725,-0.25965704321861266
00-0037834,2023,B.Purdy,2135,2257.930499792099,-122.930499792099,264,8.087121212121213,8.552767044667041,-0.46564583254582953
00-0038102,2023,K.Pickett,1940,1826.4048018455505,113.59519815444946,268,7.2388059701492535,6.814943290468472,0.42386267968078156
00-0038122,2023,D.Ridder,1944,1576.6059554815292,367.39404451847076,238,8.168067226890756,6.624394770930795,1.5436724559599613
00-0038416,2023,T.Bagent,797,1168.7508676052094,-371.75086760520935,138,5.77536231884058,8.469209185544996,-2.6938468667044155
00-0038579,2023,A.O'Connell,1172,1164.495985031128,7.50401496887207,138,8.492753623188406,8.438376703124115,0.05437692006429037
00-0039150,2023,B.Young,1845,2191.3457624018192,-346.34576240181923,290,6.362068965517241,7.556364697937307,-1.1942957324200663
00-0039152,2023,W.Levis,1290,1070.3144466131926,219.68555338680744,119,10.840336134453782,8.994239047169685,1.846097087284096
00-0039163,2023,C.Stroud,3070,2872.90153747797,197.09846252202988,335,9.164179104477611,8.575825485008867,0.5883536194687459
